title
藥師證實「吃這6種藥」易便秘！感冒、止咳藥都中了
陰莖「小肉條太短」易不舉！泌尿醫教2招自測
張洪量愛妻「換肝1年病逝」！醫列5併發症：排斥和感染終生要注意
520後留任？薛瑞元表態「不會爭取」：不是操之在我
吃起司失智率降19%！「2種人」醫點名別碰
好累卻捨不得睡？你正在「報復性熬夜」　專家曝3大元兇
過了35歲必吃！情慾勃發「6大飲食」還養精　營養師激推
國小妹脖子黑…媽刷到破皮！「手上那一杯」讓醫秒懂了
5旬男剛結紮就急找小三壞壞　完事後陰囊發黑「腫至6倍大」
隱藏版癌王！「膽管癌」早期症狀不明顯　醫示警「9大徵兆」
6種尿尿姿勢錯了！半蹲小心　泌尿醫：恐害尿失禁
一周過四季！溫差恐害心肌梗塞　專家示警「4族群」小心了
早知道辣椒粉檢出蘇丹色素！「保欣公司」竟沒通報　衛生局重罰200萬
吃什麼拉什麼！熟男「1天狂拉5次」　醫示警少吃3類食物
62歲衛福部前司長再拚學測「考美術系」　自曝成績：有點淡淡的哀傷
一天至少刷5次牙！醫吐「最重要時機」沒刷全爛光
男嘴唇冒「詭異黑點」！醫揭1遺傳病：癌變危險高12倍
年輕人也會得帶狀疱疹！名醫兒子慘中招　壓力、大作息不正常成關鍵
她168斷食暴肥20kg！「做錯2件事」醫嘆：慢性病即將發生
蘇丹紅是什麼？專家解答　「化學染劑」恐傷肝腎
結婚2年他天天要！人妻嫌髒…准「去外面洩慾」　結局神展開
魚刺卡喉他猛吞飯！醫見「3公分整根插入」嚇呆　5方法會更慘
小S公公猝逝　心肌梗塞「4部位」易忽略！不一定會胸痛
長者打XBB疫苗安全！國際研究百萬人接種後風險：28種疾病都未增加
強烈冷氣團急凍！高風險族群注意保暖　低溫保健8要點必看
小S公公猝逝！心肌梗塞「10大徵兆」　醫嘆：有人一點症狀都沒有
她喝「玫瑰茶神飲」拉超順！2原因解答　營養師：古代曾當瀉藥
溫差大心血管疾病成殺手　自保妙招助你遠離危機
他詭異發燒半年！醫「1顆藥」抓癌症第4期　嘆：都一點一點的
他「10年壞習慣」血管堵死4次！　醫心寒：隨時掛掉都不意外
趙少康左手一大包！冰箱夾到動手術　骨科醫分析可能原因
換季皮屑又落髮？營養師飲食指南：除黑芝麻，吃這些更有效
新冠高峰！北市65歲以上長者到聯醫打XBB疫苗　加碼送100元商品券
多喝水出事！國三生比賽猛灌6000C.C茶水　返家嘔吐、抽搐已水中毒
「血尿不會痛」恐是4癌症！無其他症狀　醫嘆：發現已晚期
他半年無痛血尿！竟是2.5公分腎結石釀禍　醫揭預防方法
蘇丹紅辣椒粉也做成「咖哩粉」流向12縣市　北市1餐廳用到急下架
7成患者發現已晚期！醫示警「膽道癌」10大高危險族群
熬夜會變胖？相當於一個月喝下65瓶可樂
失智成因8%來自聽損　聽力師揭「戴助聽器」關鍵時機
致癌紅辣椒粉「流向9縣市」　明起「檢出蘇丹紅」立即停止輸入
香港女「胃食道逆流」奔台看診！醫一看：是假的
幼年紅斑性狼瘡治療新發現！台大研究「用藥時間點提前」降死亡風險
4年過1次生日！長庚5名229寶寶報到　有媽媽喊「特別」指定這天生
不吃早餐罹癌風險多2倍！營養師推「最佳控糖吃法」
2024年「全球最佳250家醫院」有北榮！　台灣唯一上榜醫院
看病變貴了！明起「8家醫院」升級　急診最多漲350元
本土麻疹爆群聚！醫點名「3種人」快打疫苗　全球病例恐激增
不知不覺瘦了！「4個小習慣」刮油剷肉　醫激推
熬夜真的會胖！1個月等於「多喝65瓶可樂」　營養師曝原因
60歲醫也要輪值班！兒科缺人成重災區　衛福部喊話：將拋利多留人
台大兒科住院醫首見招不滿！要13人只來一半　院長曝原因
兒科大缺人！彰基「60歲醫也要輪值班」　醫無奈：已是全國性問題
他早洩多年…3任女友「沒抱怨卻都分手」！性專家給2忠告
割包皮「最佳2時機」！兒科醫：新生兒沒必要割
痰竟藏身體警訊　醫師教「4顏色簡單判斷」一情況恐是癌症徵兆
康祺肺疾猝逝！專家列「5病」最常見　它年奪300萬人命症狀像感冒
麻疹傳染力很強！出疹前後4天都會感染　「留意6症狀」恐併發腦炎
黃嘉千自爆「長年遭家暴患PTSD」　精神醫揭3進程：孤軍奮鬥恐陷重鬱
深化台美醫療合作！北榮、梅約醫學中心展開「重粒子」基礎生物研究
致癌「蘇丹紅辣椒粉」流向16家下游！食藥署：累計下架逾2.2萬公斤
台灣「食道癌」9成患者是男性！7大危險因子曝　出現8症狀當心
每3人會有1人得帶狀疱疹　最新跨國調查：8成6民眾有錯誤認知
台灣10種最乾淨水果！　1款連兩年「不合格率都是0%」
兄弟看過來！4情況讓GG變小　太少使用也會
爸肚子很大！機警女兒見「穿褲子」怪怪的　醫查出18公斤肉瘤
「控制狂情人」都有5大特質！心理師：對失去的恐懼
致癌紅辣椒粉竄全台！食藥署：3／1起檢出蘇丹紅立即停止輸入
玻璃瓶塞肛！30歲男手滑…「整支進去了」　拿衣架勾下場超慘
iWIN下架「二次元創作」惹議　衛福部選定開會時間
1種失智症是假的！　精神科醫揭「5特徵」常被誤會
用電鍋煮水煮蛋零失誤！營養師曝2招　免開火又好剝
北市爆首例麻疹境外移入！衛生局曝搭乘航班　可傳染期曾去八方雲集
必比登名店「貳哥食堂」上榜！食藥署查「網紅餐廳」3家存放逾期食材
「做抹片」防子宮頸癌！仍有逾200萬人篩不足　醫：近9成患者沒篩過
她「吃飯滑手機」竟讓胃食道逆流反覆發作！醫提注意上交叉症候群
可果美「進口披薩醬」檢出致癌農藥殘留！逾1.9萬公斤全數退運銷毀
冷氣團來襲！氣溫跌破10度　留意「6大急性症狀」恐發心臟病、中風
「6嚴重急症」急診室一堆！　醫：5症狀中3小心了
進去會痛！男友硬撐4年分手…她「上網找破處」砲友全嚇跑　急求救
路邊一台「巡迴車」救了她！　63歲婦「意外發現罹乳癌」
北醫大體系全面啟動「醫療資訊3.0」！「3家醫院」系統升級
麻疹本土群聚增2例！　新北衛生局曝活動史「曾去新馬辣」
北榮「重粒子尖端治癌」響亮醫界！吸引「國際輻射專家」參訪
日本哈密瓜檢出「禁用農藥」　食藥署：業者列100%逐批查驗
蘇丹紅辣椒粉做成「韓式餡、紹辣醬」！新北：八方雲集用完4千公斤
「無老鍋、微風超市」上榜！北市衛生局驗「蔬果農藥殘留」15件違規
5公分↑難以根治大型肝癌　長庚追蹤4年研究證實質子治療可延長存活
今驚蟄養肝「做4件事」　醫：擁有開外掛保護力！
立可帶大小！台男未勃起平均10.5cm　醫揭關鍵長度：多數夠用
4寶媽「生3次、2次HELLP」撐過了　台大醫：鬆一口氣
「流感疫苗」今全民開打！　接種「4大QA」一次看
實測168瘦12kg！女醫「不挨餓2招」全說了　澱粉沒有少
蘇丹紅辣椒粉連環爆！北市衛生局後市場「又查到3產品」
胰臟癌一確診「往往已中晚期」！醫曝4症狀＝癌王警訊
致癌蘇丹紅竄全台！吃「3類食物」代謝排毒　營養師激推
高雄同家族業者又查到蘇丹紅！毒辣椒粉累計檢出15批　流向24家下游
北市公費流感疫苗「還有3千劑」　3／5起「2族群」都可接種
蘇丹紅辣椒粉竄全台！林淑芬怒槓吳秀梅　開轟「沒能力、不適任」
大學生能尿到天花板？泌尿醫解答　加碼曝「射精最遠距離」
邊境查驗人力不足！5年只多1人　食藥署要向政院爭取「盼增10人」
張洪量愛妻「換肝1年病逝」！醫列5併發症：排斥和感染終生要注意
520後留任？薛瑞元表態「不會爭取」：不是操之在我
吃起司失智率降19%！「2種人」醫點名別碰
好累卻捨不得睡？你正在「報復性熬夜」　專家曝3大元兇
過了35歲必吃！情慾勃發「6大飲食」還養精　營養師激推
國小妹脖子黑…媽刷到破皮！「手上那一杯」讓醫秒懂了
5旬男剛結紮就急找小三壞壞　完事後陰囊發黑「腫至6倍大」
隱藏版癌王！「膽管癌」早期症狀不明顯　醫示警「9大徵兆」
6種尿尿姿勢錯了！半蹲小心　泌尿醫：恐害尿失禁
一周過四季！溫差恐害心肌梗塞　專家示警「4族群」小心了
早知道辣椒粉檢出蘇丹色素！「保欣公司」竟沒通報　衛生局重罰200萬
吃什麼拉什麼！熟男「1天狂拉5次」　醫示警少吃3類食物
62歲衛福部前司長再拚學測「考美術系」　自曝成績：有點淡淡的哀傷
一天至少刷5次牙！醫吐「最重要時機」沒刷全爛光
男嘴唇冒「詭異黑點」！醫揭1遺傳病：癌變危險高12倍
年輕人也會得帶狀疱疹！名醫兒子慘中招　壓力、大作息不正常成關鍵
她168斷食暴肥20kg！「做錯2件事」醫嘆：慢性病即將發生
蘇丹紅是什麼？專家解答　「化學染劑」恐傷肝腎
結婚2年他天天要！人妻嫌髒…准「去外面洩慾」　結局神展開
魚刺卡喉他猛吞飯！醫見「3公分整根插入」嚇呆　5方法會更慘
小S公公猝逝　心肌梗塞「4部位」易忽略！不一定會胸痛
長者打XBB疫苗安全！國際研究百萬人接種後風險：28種疾病都未增加
強烈冷氣團急凍！高風險族群注意保暖　低溫保健8要點必看
小S公公猝逝！心肌梗塞「10大徵兆」　醫嘆：有人一點症狀都沒有
她喝「玫瑰茶神飲」拉超順！2原因解答　營養師：古代曾當瀉藥
溫差大心血管疾病成殺手　自保妙招助你遠離危機
他詭異發燒半年！醫「1顆藥」抓癌症第4期　嘆：都一點一點的
他「10年壞習慣」血管堵死4次！　醫心寒：隨時掛掉都不意外
趙少康左手一大包！冰箱夾到動手術　骨科醫分析可能原因
換季皮屑又落髮？營養師飲食指南：除黑芝麻，吃這些更有效
新冠高峰！北市65歲以上長者到聯醫打XBB疫苗　加碼送100元商品券
多喝水出事！國三生比賽猛灌6000C.C茶水　返家嘔吐、抽搐已水中毒
「血尿不會痛」恐是4癌症！無其他症狀　醫嘆：發現已晚期
他半年無痛血尿！竟是2.5公分腎結石釀禍　醫揭預防方法
蘇丹紅辣椒粉也做成「咖哩粉」流向12縣市　北市1餐廳用到急下架
7成患者發現已晚期！醫示警「膽道癌」10大高危險族群
熬夜會變胖？相當於一個月喝下65瓶可樂
失智成因8%來自聽損　聽力師揭「戴助聽器」關鍵時機
致癌紅辣椒粉「流向9縣市」　明起「檢出蘇丹紅」立即停止輸入
香港女「胃食道逆流」奔台看診！醫一看：是假的
幼年紅斑性狼瘡治療新發現！台大研究「用藥時間點提前」降死亡風險
4年過1次生日！長庚5名229寶寶報到　有媽媽喊「特別」指定這天生
不吃早餐罹癌風險多2倍！營養師推「最佳控糖吃法」
2024年「全球最佳250家醫院」有北榮！　台灣唯一上榜醫院
看病變貴了！明起「8家醫院」升級　急診最多漲350元
本土麻疹爆群聚！醫點名「3種人」快打疫苗　全球病例恐激增
不知不覺瘦了！「4個小習慣」刮油剷肉　醫激推
熬夜真的會胖！1個月等於「多喝65瓶可樂」　營養師曝原因
60歲醫也要輪值班！兒科缺人成重災區　衛福部喊話：將拋利多留人
台大兒科住院醫首見招不滿！要13人只來一半　院長曝原因
兒科大缺人！彰基「60歲醫也要輪值班」　醫無奈：已是全國性問題
他早洩多年…3任女友「沒抱怨卻都分手」！性專家給2忠告
割包皮「最佳2時機」！兒科醫：新生兒沒必要割
痰竟藏身體警訊　醫師教「4顏色簡單判斷」一情況恐是癌症徵兆
康祺肺疾猝逝！專家列「5病」最常見　它年奪300萬人命症狀像感冒
麻疹傳染力很強！出疹前後4天都會感染　「留意6症狀」恐併發腦炎
黃嘉千自爆「長年遭家暴患PTSD」　精神醫揭3進程：孤軍奮鬥恐陷重鬱
深化台美醫療合作！北榮、梅約醫學中心展開「重粒子」基礎生物研究
致癌「蘇丹紅辣椒粉」流向16家下游！食藥署：累計下架逾2.2萬公斤
台灣「食道癌」9成患者是男性！7大危險因子曝　出現8症狀當心
每3人會有1人得帶狀疱疹　最新跨國調查：8成6民眾有錯誤認知
台灣10種最乾淨水果！　1款連兩年「不合格率都是0%」
兄弟看過來！4情況讓GG變小　太少使用也會
爸肚子很大！機警女兒見「穿褲子」怪怪的　醫查出18公斤肉瘤
RSV不僅威脅幼兒！共病長者易重症　國內首款成人疫苗獲藥證
7旬男長「膽結石」意外發現腎臟癌！北榮「凍死」癌細胞免切腎
35歲工程師情緒暴走險離婚！自認「沒問題」　AI揪出憂鬱症
醫示警：腸病毒要開始流行了！「有學校停課」　小心重症5徵兆
「蝦味先、海底撈調味料」都中標！用到毒辣椒粉「49項產品」一次看
不抽菸少煮菜！女「咳一個多月」　已是肺癌末期
進口毒辣椒粉「3公司」裁罰506萬！食藥署：若未判刑最重可再罰2億
蘇丹紅辣椒粉還有5批檢驗中！食藥署「設專區」揭露違規資訊
睡得更好！「戒咖啡」身體冒10大驚人變化
「6嚴重急症」急診室一堆！　醫：5症狀中3小心了
進去會痛！男友硬撐4年分手…她「上網找破處」砲友全嚇跑　急求救
路邊一台「巡迴車」救了她！　63歲婦「意外發現罹乳癌」
北醫大體系全面啟動「醫療資訊3.0」！「3家醫院」系統升級
麻疹本土群聚增2例！　新北衛生局曝活動史「曾去新馬辣」
北榮「重粒子尖端治癌」響亮醫界！吸引「國際輻射專家」參訪
日本哈密瓜檢出「禁用農藥」　食藥署：業者列100%逐批查驗
蘇丹紅辣椒粉做成「韓式餡、紹辣醬」！新北：八方雲集用完4千公斤
「無老鍋、微風超市」上榜！北市衛生局驗「蔬果農藥殘留」15件違規
5公分↑難以根治大型肝癌　長庚追蹤4年研究證實質子治療可延長存活
今驚蟄養肝「做4件事」　醫：擁有開外掛保護力！
立可帶大小！台男未勃起平均10.5cm　醫揭關鍵長度：多數夠用
4寶媽「生3次、2次HELLP」撐過了　台大醫：鬆一口氣
「流感疫苗」今全民開打！　接種「4大QA」一次看
實測168瘦12kg！女醫「不挨餓2招」全說了　澱粉沒有少
蘇丹紅辣椒粉連環爆！北市衛生局後市場「又查到3產品」
胰臟癌一確診「往往已中晚期」！醫曝4症狀＝癌王警訊
致癌蘇丹紅竄全台！吃「3類食物」代謝排毒　營養師激推
高雄同家族業者又查到蘇丹紅！毒辣椒粉累計檢出15批　流向24家下游
北市公費流感疫苗「還有3千劑」　3／5起「2族群」都可接種
蘇丹紅辣椒粉竄全台！林淑芬怒槓吳秀梅　開轟「沒能力、不適任」
大學生能尿到天花板？泌尿醫解答　加碼曝「射精最遠距離」
邊境查驗人力不足！5年只多1人　食藥署要向政院爭取「盼增10人」
張洪量愛妻「換肝1年病逝」！醫列5併發症：排斥和感染終生要注意
520後留任？薛瑞元表態「不會爭取」：不是操之在我
吃起司失智率降19%！「2種人」醫點名別碰
好累卻捨不得睡？你正在「報復性熬夜」　專家曝3大元兇
過了35歲必吃！情慾勃發「6大飲食」還養精　營養師激推
國小妹脖子黑…媽刷到破皮！「手上那一杯」讓醫秒懂了
5旬男剛結紮就急找小三壞壞　完事後陰囊發黑「腫至6倍大」
隱藏版癌王！「膽管癌」早期症狀不明顯　醫示警「9大徵兆」
6種尿尿姿勢錯了！半蹲小心　泌尿醫：恐害尿失禁
一周過四季！溫差恐害心肌梗塞　專家示警「4族群」小心了
早知道辣椒粉檢出蘇丹色素！「保欣公司」竟沒通報　衛生局重罰200萬
吃什麼拉什麼！熟男「1天狂拉5次」　醫示警少吃3類食物
62歲衛福部前司長再拚學測「考美術系」　自曝成績：有點淡淡的哀傷
一天至少刷5次牙！醫吐「最重要時機」沒刷全爛光
男嘴唇冒「詭異黑點」！醫揭1遺傳病：癌變危險高12倍
年輕人也會得帶狀疱疹！名醫兒子慘中招　壓力、大作息不正常成關鍵
她168斷食暴肥20kg！「做錯2件事」醫嘆：慢性病即將發生
蘇丹紅是什麼？專家解答　「化學染劑」恐傷肝腎
結婚2年他天天要！人妻嫌髒…准「去外面洩慾」　結局神展開
魚刺卡喉他猛吞飯！醫見「3公分整根插入」嚇呆　5方法會更慘
小S公公猝逝　心肌梗塞「4部位」易忽略！不一定會胸痛
長者打XBB疫苗安全！國際研究百萬人接種後風險：28種疾病都未增加
強烈冷氣團急凍！高風險族群注意保暖　低溫保健8要點必看
小S公公猝逝！心肌梗塞「10大徵兆」　醫嘆：有人一點症狀都沒有
她喝「玫瑰茶神飲」拉超順！2原因解答　營養師：古代曾當瀉藥
溫差大心血管疾病成殺手　自保妙招助你遠離危機
他詭異發燒半年！醫「1顆藥」抓癌症第4期　嘆：都一點一點的
他「10年壞習慣」血管堵死4次！　醫心寒：隨時掛掉都不意外
趙少康左手一大包！冰箱夾到動手術　骨科醫分析可能原因
換季皮屑又落髮？營養師飲食指南：除黑芝麻，吃這些更有效
新冠高峰！北市65歲以上長者到聯醫打XBB疫苗　加碼送100元商品券
多喝水出事！國三生比賽猛灌6000C.C茶水　返家嘔吐、抽搐已水中毒
「血尿不會痛」恐是4癌症！無其他症狀　醫嘆：發現已晚期
他半年無痛血尿！竟是2.5公分腎結石釀禍　醫揭預防方法
蘇丹紅辣椒粉也做成「咖哩粉」流向12縣市　北市1餐廳用到急下架
7成患者發現已晚期！醫示警「膽道癌」10大高危險族群
熬夜會變胖？相當於一個月喝下65瓶可樂
失智成因8%來自聽損　聽力師揭「戴助聽器」關鍵時機
致癌紅辣椒粉「流向9縣市」　明起「檢出蘇丹紅」立即停止輸入
香港女「胃食道逆流」奔台看診！醫一看：是假的
幼年紅斑性狼瘡治療新發現！台大研究「用藥時間點提前」降死亡風險
4年過1次生日！長庚5名229寶寶報到　有媽媽喊「特別」指定這天生
不吃早餐罹癌風險多2倍！營養師推「最佳控糖吃法」
2024年「全球最佳250家醫院」有北榮！　台灣唯一上榜醫院
看病變貴了！明起「8家醫院」升級　急診最多漲350元
本土麻疹爆群聚！醫點名「3種人」快打疫苗　全球病例恐激增
不知不覺瘦了！「4個小習慣」刮油剷肉　醫激推
新手爸媽不用再煩惱　三妙招教你安撫哭鬧寶寶
25歲男「未婚突要結紮」！醫一聽原因秒愣：怎麼有點羨慕
挖鼻孔竟是「健康地雷」！醫師揭示隱患：恐成強迫症
草莓營養價值超高！養顏最佳幫手外　營養師點名「這」原因：孕媽必吃
我國女性吸菸率上升！　輕熟女抽最兇
「8種運動」有助長壽！研究：每天動15分鐘可多活3年
RSV不僅威脅幼兒！共病長者易重症　國內首款成人疫苗獲藥證
7旬男長「膽結石」意外發現腎臟癌！北榮「凍死」癌細胞免切腎
35歲工程師情緒暴走險離婚！自認「沒問題」　AI揪出憂鬱症
醫示警：腸病毒要開始流行了！「有學校停課」　小心重症5徵兆
「蝦味先、海底撈調味料」都中標！用到毒辣椒粉「49項產品」一次看
不抽菸少煮菜！女「咳一個多月」　已是肺癌末期
進口毒辣椒粉「3公司」裁罰506萬！食藥署：若未判刑最重可再罰2億
蘇丹紅辣椒粉還有5批檢驗中！食藥署「設專區」揭露違規資訊
睡得更好！「戒咖啡」身體冒10大驚人變化
「6嚴重急症」急診室一堆！　醫：5症狀中3小心了
進去會痛！男友硬撐4年分手…她「上網找破處」砲友全嚇跑　急求救
路邊一台「巡迴車」救了她！　63歲婦「意外發現罹乳癌」
北醫大體系全面啟動「醫療資訊3.0」！「3家醫院」系統升級
麻疹本土群聚增2例！　新北衛生局曝活動史「曾去新馬辣」
北榮「重粒子尖端治癌」響亮醫界！吸引「國際輻射專家」參訪
日本哈密瓜檢出「禁用農藥」　食藥署：業者列100%逐批查驗
蘇丹紅辣椒粉做成「韓式餡、紹辣醬」！新北：八方雲集用完4千公斤
「無老鍋、微風超市」上榜！北市衛生局驗「蔬果農藥殘留」15件違規
5公分↑難以根治大型肝癌　長庚追蹤4年研究證實質子治療可延長存活
今驚蟄養肝「做4件事」　醫：擁有開外掛保護力！
立可帶大小！台男未勃起平均10.5cm　醫揭關鍵長度：多數夠用
4寶媽「生3次、2次HELLP」撐過了　台大醫：鬆一口氣
「流感疫苗」今全民開打！　接種「4大QA」一次看
實測168瘦12kg！女醫「不挨餓2招」全說了　澱粉沒有少
蘇丹紅辣椒粉連環爆！北市衛生局後市場「又查到3產品」
胰臟癌一確診「往往已中晚期」！醫曝4症狀＝癌王警訊
致癌蘇丹紅竄全台！吃「3類食物」代謝排毒　營養師激推
高雄同家族業者又查到蘇丹紅！毒辣椒粉累計檢出15批　流向24家下游
北市公費流感疫苗「還有3千劑」　3／5起「2族群」都可接種
蘇丹紅辣椒粉竄全台！林淑芬怒槓吳秀梅　開轟「沒能力、不適任」
大學生能尿到天花板？泌尿醫解答　加碼曝「射精最遠距離」
邊境查驗人力不足！5年只多1人　食藥署要向政院爭取「盼增10人」
張洪量愛妻「換肝1年病逝」！醫列5併發症：排斥和感染終生要注意
520後留任？薛瑞元表態「不會爭取」：不是操之在我
吃起司失智率降19%！「2種人」醫點名別碰
好累卻捨不得睡？你正在「報復性熬夜」　專家曝3大元兇
過了35歲必吃！情慾勃發「6大飲食」還養精　營養師激推
國小妹脖子黑…媽刷到破皮！「手上那一杯」讓醫秒懂了
5旬男剛結紮就急找小三壞壞　完事後陰囊發黑「腫至6倍大」
隱藏版癌王！「膽管癌」早期症狀不明顯　醫示警「9大徵兆」
6種尿尿姿勢錯了！半蹲小心　泌尿醫：恐害尿失禁
一周過四季！溫差恐害心肌梗塞　專家示警「4族群」小心了
早知道辣椒粉檢出蘇丹色素！「保欣公司」竟沒通報　衛生局重罰200萬
吃什麼拉什麼！熟男「1天狂拉5次」　醫示警少吃3類食物
62歲衛福部前司長再拚學測「考美術系」　自曝成績：有點淡淡的哀傷
一天至少刷5次牙！醫吐「最重要時機」沒刷全爛光
男嘴唇冒「詭異黑點」！醫揭1遺傳病：癌變危險高12倍
年輕人也會得帶狀疱疹！名醫兒子慘中招　壓力、大作息不正常成關鍵
她168斷食暴肥20kg！「做錯2件事」醫嘆：慢性病即將發生
蘇丹紅是什麼？專家解答　「化學染劑」恐傷肝腎
結婚2年他天天要！人妻嫌髒…准「去外面洩慾」　結局神展開
魚刺卡喉他猛吞飯！醫見「3公分整根插入」嚇呆　5方法會更慘
小S公公猝逝　心肌梗塞「4部位」易忽略！不一定會胸痛
長者打XBB疫苗安全！國際研究百萬人接種後風險：28種疾病都未增加
強烈冷氣團急凍！高風險族群注意保暖　低溫保健8要點必看
小S公公猝逝！心肌梗塞「10大徵兆」　醫嘆：有人一點症狀都沒有
她喝「玫瑰茶神飲」拉超順！2原因解答　營養師：古代曾當瀉藥
溫差大心血管疾病成殺手　自保妙招助你遠離危機
他詭異發燒半年！醫「1顆藥」抓癌症第4期　嘆：都一點一點的
他「10年壞習慣」血管堵死4次！　醫心寒：隨時掛掉都不意外
趙少康左手一大包！冰箱夾到動手術　骨科醫分析可能原因
換季皮屑又落髮？營養師飲食指南：除黑芝麻，吃這些更有效
新冠高峰！北市65歲以上長者到聯醫打XBB疫苗　加碼送100元商品券
多喝水出事！國三生比賽猛灌6000C.C茶水　返家嘔吐、抽搐已水中毒
「血尿不會痛」恐是4癌症！無其他症狀　醫嘆：發現已晚期
女性50歲後腰圍過粗逾6成　恐增三高風險
孩子成長後追求真實自我！長庚新式跨性別手術　40歲的她擺脫男兒身
家中4兄弟「3人血管塞死」！他驚吐2關鍵　醫勸：快檢查
最傷肝「5食物」別再吃！營養師：恐得肝癌
長照定型化契約出爐　第一線機構揭隱憂：服務的是個案還是家屬？
愛滋自我篩檢創6年新高！女性感染者「近半數」延遲診斷
《七龍珠》鳥山明病逝！醫揭「急性硬腦膜下血腫」少見　3可能原因
不一定要用毛巾！洗臉「最佳工具」醫激推：不會傷皮膚
新手爸媽不用再煩惱　三妙招教你安撫哭鬧寶寶
25歲男「未婚突要結紮」！醫一聽原因秒愣：怎麼有點羨慕
挖鼻孔竟是「健康地雷」！醫師揭示隱患：恐成強迫症
草莓營養價值超高！養顏最佳幫手外　營養師點名「這」原因：孕媽必吃
我國女性吸菸率上升！　輕熟女抽最兇
「8種運動」有助長壽！研究：每天動15分鐘可多活3年
RSV不僅威脅幼兒！共病長者易重症　國內首款成人疫苗獲藥證
7旬男長「膽結石」意外發現腎臟癌！北榮「凍死」癌細胞免切腎
35歲工程師情緒暴走險離婚！自認「沒問題」　AI揪出憂鬱症
醫示警：腸病毒要開始流行了！「有學校停課」　小心重症5徵兆
「蝦味先、海底撈調味料」都中標！用到毒辣椒粉「49項產品」一次看
不抽菸少煮菜！女「咳一個多月」　已是肺癌末期
進口毒辣椒粉「3公司」裁罰506萬！食藥署：若未判刑最重可再罰2億
蘇丹紅辣椒粉還有5批檢驗中！食藥署「設專區」揭露違規資訊
睡得更好！「戒咖啡」身體冒10大驚人變化
「6嚴重急症」急診室一堆！　醫：5症狀中3小心了
進去會痛！男友硬撐4年分手…她「上網找破處」砲友全嚇跑　急求救
路邊一台「巡迴車」救了她！　63歲婦「意外發現罹乳癌」
北醫大體系全面啟動「醫療資訊3.0」！「3家醫院」系統升級
麻疹本土群聚增2例！　新北衛生局曝活動史「曾去新馬辣」
北榮「重粒子尖端治癌」響亮醫界！吸引「國際輻射專家」參訪
日本哈密瓜檢出「禁用農藥」　食藥署：業者列100%逐批查驗
蘇丹紅辣椒粉做成「韓式餡、紹辣醬」！新北：八方雲集用完4千公斤
「無老鍋、微風超市」上榜！北市衛生局驗「蔬果農藥殘留」15件違規
5公分↑難以根治大型肝癌　長庚追蹤4年研究證實質子治療可延長存活
今驚蟄養肝「做4件事」　醫：擁有開外掛保護力！
立可帶大小！台男未勃起平均10.5cm　醫揭關鍵長度：多數夠用
4寶媽「生3次、2次HELLP」撐過了　台大醫：鬆一口氣
「流感疫苗」今全民開打！　接種「4大QA」一次看
實測168瘦12kg！女醫「不挨餓2招」全說了　澱粉沒有少
蘇丹紅辣椒粉連環爆！北市衛生局後市場「又查到3產品」
胰臟癌一確診「往往已中晚期」！醫曝4症狀＝癌王警訊
致癌蘇丹紅竄全台！吃「3類食物」代謝排毒　營養師激推
高雄同家族業者又查到蘇丹紅！毒辣椒粉累計檢出15批　流向24家下游
北市公費流感疫苗「還有3千劑」　3／5起「2族群」都可接種
蘇丹紅辣椒粉竄全台！林淑芬怒槓吳秀梅　開轟「沒能力、不適任」
大學生能尿到天花板？泌尿醫解答　加碼曝「射精最遠距離」
邊境查驗人力不足！5年只多1人　食藥署要向政院爭取「盼增10人」
張洪量愛妻「換肝1年病逝」！醫列5併發症：排斥和感染終生要注意
520後留任？薛瑞元表態「不會爭取」：不是操之在我
吃起司失智率降19%！「2種人」醫點名別碰
好累卻捨不得睡？你正在「報復性熬夜」　專家曝3大元兇
過了35歲必吃！情慾勃發「6大飲食」還養精　營養師激推
國小妹脖子黑…媽刷到破皮！「手上那一杯」讓醫秒懂了
5旬男剛結紮就急找小三壞壞　完事後陰囊發黑「腫至6倍大」
隱藏版癌王！「膽管癌」早期症狀不明顯　醫示警「9大徵兆」
6種尿尿姿勢錯了！半蹲小心　泌尿醫：恐害尿失禁
一周過四季！溫差恐害心肌梗塞　專家示警「4族群」小心了
早知道辣椒粉檢出蘇丹色素！「保欣公司」竟沒通報　衛生局重罰200萬
吃什麼拉什麼！熟男「1天狂拉5次」　醫示警少吃3類食物
62歲衛福部前司長再拚學測「考美術系」　自曝成績：有點淡淡的哀傷
一天至少刷5次牙！醫吐「最重要時機」沒刷全爛光
男嘴唇冒「詭異黑點」！醫揭1遺傳病：癌變危險高12倍
年輕人也會得帶狀疱疹！名醫兒子慘中招　壓力、大作息不正常成關鍵
她168斷食暴肥20kg！「做錯2件事」醫嘆：慢性病即將發生
蘇丹紅是什麼？專家解答　「化學染劑」恐傷肝腎
結婚2年他天天要！人妻嫌髒…准「去外面洩慾」　結局神展開
魚刺卡喉他猛吞飯！醫見「3公分整根插入」嚇呆　5方法會更慘
小S公公猝逝　心肌梗塞「4部位」易忽略！不一定會胸痛
長者打XBB疫苗安全！國際研究百萬人接種後風險：28種疾病都未增加
強烈冷氣團急凍！高風險族群注意保暖　低溫保健8要點必看
小S公公猝逝！心肌梗塞「10大徵兆」　醫嘆：有人一點症狀都沒有
